"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"23","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","108","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"24","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","111","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"25","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","114","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"26","1","1","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","15","27","FieldNamingConventions","The final field name 'RemainingPatientResponsability' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_codestyle.html#fieldnamingconventions","Code Style","pmd"
"27","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","17","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"28","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","17","12","NcssConstructorCount","The constructor has an NCSS line count of 38","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#ncssconstructorcount","Design","pmd"
"29","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","23","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"30","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","23","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"31","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","24","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"32","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","24","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"33","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","32","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"34","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","32","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"35","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","32","22","ApexXSSFromURLParam","Apex classes should escape/sanitize Strings obtained from URL parameters","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexxssfromurlparam","Security","pmd"
"36","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","34","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"37","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","34","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"38","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","35","15","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"39","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","35","15","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"40","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","81","20","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"41","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","81","20","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"42","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","84","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"43","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","84","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"44","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","85","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"45","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","85","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"46","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","87","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"47","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","87","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"48","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","98","22","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"49","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","99","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"50","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","99","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"51","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","106","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"52","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","109","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"53","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","112","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"54","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","115","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"55","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController_V2.cls","118","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"56","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AsyncPatientUpdate.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"57","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AsyncPatientUpdate.cls","11","12","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"58","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AsyncPatientUpdate.cls","11","12","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"59","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AsyncPatientUpdate.cls","17","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"60","5","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AsyncPatientUpdate.cls","17","12","QueueableWithoutFinalizer","This Queueable doesnt attach a Finalizer","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#queueablewithoutfinalizer","Best Practices","pmd"
"61","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AsyncPatientUpdate.cls","18","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"62","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AsyncPatientUpdate.cls","18","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"63","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","3","19","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"64","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","3","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"65","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","8","20","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"66","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","31","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"67","1","1","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","31","41","FormalParameterNamingConventions","The method parameter name 'Name' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_codestyle.html#formalparameternamingconventions","Code Style","pmd"
"68","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","36","19","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"69","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","36","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"70","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","46","19","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"71","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","46","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"72","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","53","19","ApexUnitTestClassShouldHaveAsserts","Apex unit tests should System.assert() or assertEquals() or assertNotEquals()","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#apexunittestclassshouldhaveasserts","Best Practices","pmd"
"73","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","58","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"74","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","58","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"75","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","61","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"76","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","61","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"77","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","64","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"78","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","64","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"79","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","66","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"80","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","66","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"81","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","69","17","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"82","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","69","17","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"83","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","73","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"84","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","73","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"85","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","76","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"86","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","76","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"87","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","92","12","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"88","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","92","12","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"89","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","93","12","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"90","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/BassemTestAs.cls","93","12","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
